run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues,vectime,vecvalue
RSA-0-20260408-11:08:59-2456,config,,,network,AdvancedSecurityNetwork,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,ned-path,.:/home/uzai/yga/omnet/inet/src,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,sim-time-limit,100s,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,output-scalar-file,results/RSA-0.sca,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,output-vector-file,results/RSA-0.vec,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,*.configurator.typename,Ipv4NetworkConfigurator,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,**.wlan[*].typename,Ieee80211Interface,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,**.wlan[*].mac.typename,Ieee80211Mac,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,**.wlan[*].radio.typename,Ieee80211ScalarRadio,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,**.wlan[*].mgmt.typename,Ieee80211MgmtAdhoc,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,**.wlan[*].agent.typename,,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,**.radioMedium.backgroundNoise.power,-90dBm,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,*.sensor.numApps,1,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,*.sensor.app[0].typename,SmartSensorApp,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,*.sensor.app[0].localPort,4000,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,*.sensor.app[0].destPort,5000,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,*.sensor.app[0].destAddress,"""mitm""",,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,*.sensor.app[0].sendInterval,1s,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,*.sensor.app[0].senseDelay,5ms,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,*.sensor.app[0].isActuator,false,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,*.mitm.numApps,1,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,*.mitm.app[0].typename,MitMApp,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,*.mitm.app[0].localPort,5000,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,*.mitm.app[0].destPort,6000,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,*.mitm.app[0].destAddress,"""actuator""",,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,*.actuator.numApps,1,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,*.actuator.app[0].typename,SmartSensorApp,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,*.actuator.app[0].localPort,6000,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,*.actuator.app[0].destPort,0,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,*.actuator.app[0].destAddress,"""""",,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,*.actuator.app[0].isActuator,true,,,,,,,,,,,,,
RSA-0-20260408-11:08:59-2456,config,,,*.actuator.app[0].actuateDelay,20ms,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,runattr,,,configname,ML-KEM,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,runattr,,,datetime,20260408-11:11:39,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,runattr,,,datetimef,20260408-111139,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,runattr,,,experiment,ML-KEM,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,runattr,,,inifile,omnetpp.ini,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,runattr,,,iterationvars,,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,runattr,,,iterationvarsd,,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,runattr,,,iterationvarsf,,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,runattr,,,measurement,,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,runattr,,,network,AdvancedSecurityNetwork,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,runattr,,,processid,2470,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,runattr,,,repetition,0,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,runattr,,,replication,#0,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,runattr,,,resultdir,results,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,runattr,,,runnumber,0,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,runattr,,,seedset,0,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,description,ML-KEM Post-Kuantum Sifrelemesi (Islem hizli ama paket boyutu yuksek),,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,*.sensor.app[0].cryptoType,"""ML-KEM""",,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,*.sensor.app[0].packetSize,1188B,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,*.sensor.app[0].cryptoCpuDelay,5ms,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,*.actuator.app[0].cryptoType,"""ML-KEM""",,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,*.actuator.app[0].cryptoCpuDelay,5ms,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,network,AdvancedSecurityNetwork,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,ned-path,.:/home/uzai/yga/omnet/inet/src,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,sim-time-limit,100s,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,output-scalar-file,results/ML-KEM-0.sca,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,output-vector-file,results/ML-KEM-0.vec,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,*.configurator.typename,Ipv4NetworkConfigurator,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,**.wlan[*].typename,Ieee80211Interface,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,**.wlan[*].mac.typename,Ieee80211Mac,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,**.wlan[*].radio.typename,Ieee80211ScalarRadio,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,**.wlan[*].mgmt.typename,Ieee80211MgmtAdhoc,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,**.wlan[*].agent.typename,,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,**.radioMedium.backgroundNoise.power,-90dBm,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,*.sensor.numApps,1,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,*.sensor.app[0].typename,SmartSensorApp,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,*.sensor.app[0].localPort,4000,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,*.sensor.app[0].destPort,5000,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,*.sensor.app[0].destAddress,"""mitm""",,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,*.sensor.app[0].sendInterval,1s,,,,,,,,,,,,,
